listing_id,listing_package_type,ask_price,listing_status,plus_price,premium_price,raketen_price,publication_date,scrap_date
18381624,basic,725000,for_sale,410,2600,799,3/4/22,2022
18381231,basic,725000,for_sale,410,1900,799,3/4/22,2022
18381293,basic,725000,for_sale,350,1840,449,3/4/22,2022
18380932,basic,725000,for_sale,350,1840,449,3/4/22,2022
18380542,basic,725000,for_sale,350,1840,449,3/4/22,2022
18381521,plus,725000,for_sale,330,2520,224.5,3/5/22,2022
19315415,plus,735000,for_sale,700,2200,559.5,1/6/23,2023
19483155,plus,735000,for_sale,500,1800,304.5,1/5/23,2023
18381158,basic,740000,for_sale,330,1820,449,3/4/22,2022
18380889,basic,745000,for_sale,330,1820,449,3/4/22,2022
19488317,basic,750000,for_sale,700,2100,1119,1/7/23,2023
18971320,plus,750000,for_sale,600,1900,304.5,1/6/23,2023
19487817,basic,750000,for_sale,600,1900,829,1/6/23,2023
18380581,basic,750000,for_sale,450,1940,799,3/4/22,2022
18375852,basic,750000,for_sale,450,2640,799,3/4/22,2022
18381062,basic,750000,for_sale,410,1900,799,3/4/22,2022
18382757,basic,750000,for_sale,350,1840,449,3/6/22,2022
18380835,plus,750000,for_sale,350,1840,224.5,3/4/22,2022
18378957,basic,750000,for_sale,350,1840,449,3/4/22,2022
18376078,plus,750000,for_sale,350,1840,224.5,3/3/22,2022
18381800,basic,750000,for_sale,330,1820,449,3/4/22,2022
18381735,plus,750000,for_sale,330,1820,224.5,3/4/22,2022
18380654,basic,750000,for_sale,330,1820,449,3/4/22,2022
18376816,basic,750000,for_sale,330,1820,449,3/4/22,2022
18376118,premium,750000,for_sale,310,1800,224.5,3/3/22,2022
17853089,plus,765000,for_sale,410,2600,399.5,3/4/22,2022
19489596,basic,770000,for_sale,600,1800,609,1/9/23,2023
19484196,plus,775000,for_sale,600,1800,414.5,1/5/23,2023
19489415,basic,775000,for_sale,600,1900,829,1/9/23,2023
18380971,plus,775000,for_sale,410,1900,399.5,3/4/22,2022
18305919,plus,775000,for_sale,350,1840,224.5,3/4/22,2022
18382816,basic,790000,for_sale,350,2540,449,3/6/22,2022
18379058,basic,790000,for_sale,350,1840,449,3/4/22,2022
19125742,plus,795000,for_sale,800,2100,699.5,1/6/23,2023
19486495,basic,795000,for_sale,800,2100,1119,1/5/23,2023
18939756,premium,795000,for_sale,700,2100,414.5,1/9/23,2023
19110275,basic,795000,for_sale,700,1800,829,1/9/23,2023
19460816,basic,795000,for_sale,700,2000,1119,1/6/23,2023
19462997,basic,795000,for_sale,700,2000,1119,1/6/23,2023
19485335,plus,795000,for_sale,700,2000,414.5,1/5/23,2023
19487675,plus,795000,for_sale,700,2200,559.5,1/6/23,2023
19484055,basic,795000,for_sale,600,1800,829,1/5/23,2023
